Fall 2018,,,,,,,,,,,,,,,,,,,,,,
Subject,CatalogNbr,ClassDescr,Section,Instructor,Consent,EnrlCap,TopicDescr,MeetingStartDt,MeetingEndDt,FacilityId,MeetingTimeStart,MeetingTimeEnd,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,UnitsMin,UnitsMax,ClassAssnComponent
CIS,501,Software Arch/Design,A,"Valenzuela,Jorge Luis",No Special Consent Required,50, ,8/20/2018,12/7/2018,DUE1114,8:05 AM,9:20 AM,N,Y,N,Y,N,N,N,3,3,REC
CIS,501,Software Arch/Design,S,"DeLoach,Scott A",No Special Consent Required,30, ,8/20/2018,12/7/2018,DUE1117,12:30 PM,1:45 PM,Y,N,Y,N,N,N,N,3,3,REC
CIS,505,Intro Program Lang,A,"Amtoft,Torben",No Special Consent Required,85, ,8/20/2018,12/7/2018,DUF1107,8:30 AM,9:20 AM,Y,N,Y,N,Y,N,N,3,3,REC
CIS,525,Intro Computer Networks,A,"Vasserman,Eugene Y",No Special Consent Required,50, ,8/20/2018,12/7/2018,DUR1052,2:30 PM,3:20 PM,Y,N,Y,N,Y,N,N,3,3,REC
CIS,527,Enterprise Systems Admin,ZA,"Feldhausen,Russell A",No Special Consent Required,40,,8/20/2018,12/7/2018,DISTANCE,,,N,N,N,N,N,N,N,3,3,REC
CIS,530,Intro Art Intellignc,A,"Hsu,William Henry",No Special Consent Required,50, ,8/20/2018,12/7/2018,JU109,9:30 AM,10:20 AM,Y,N,Y,N,Y,N,N,3,3,REC
CIS,551,Intro Comp and Info Security,A,"Amariucai,George",No Special Consent Required,35, ,8/20/2018,12/7/2018,DUE0093,3:55 PM,5:10 PM,N,Y,N,Y,N,N,N,3,3,REC
CIS,560,Database Syst Concep,A,"Keller,John T",No Special Consent Required,120, ,8/20/2018,12/7/2018,DUF1107,11:30 AM,12:20 PM,Y,N,Y,N,Y,N,N,3,3,REC
CIS,562,Enterprise Info Syst,A,"Keller,John T",No Special Consent Required,30, ,8/20/2018,12/7/2018,DUF1107,11:30 AM,12:20 PM,Y,N,Y,N,Y,N,N,3,3,REC
CIS,580,Fundamental Game Programming,A,"Bean,Nathan H",No Special Consent Required,30, ,8/20/2018,12/7/2018,DUE1116,11:30 AM,12:20 PM,Y,N,Y,N,Y,N,N,3,3,LEC
CIS,595,IS Cooperative Internship,A,"Weese,Joshua Levi",No Special Consent Required,20, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,1,4,INT
CIS,597,Info Systems Project,A,"Neilsen,Mitchell L",No Special Consent Required,23, ,8/20/2018,12/7/2018,DU1029,3:30 PM,4:20 PM,Y,N,Y,N,Y,N,N,3,3,IND
CIS,598,Computer Sci Project,A,"Neilsen,Mitchell L",No Special Consent Required,24, ,8/20/2018,12/7/2018,DU1029,3:30 PM,4:20 PM,Y,N,Y,N,Y,N,N,3,3,IND
CIS,625,Concur Software Sys,A,"Andresen,Daniel A",No Special Consent Required,40, ,8/20/2018,12/7/2018,DUE1116,10:30 AM,11:20 AM,Y,N,Y,N,Y,N,N,3,3,REC
CIS,642,Software Engr Proj 1,A,"Bean,Nathan H",No Special Consent Required,35, ,8/20/2018,12/7/2018,DUE1116,1:30 PM,3:20 PM,Y,N,Y,N,Y,N,N,3,3,LEC
CIS,655,Adv Comp Arch,A,"Munir,Arslan",No Special Consent Required,30, ,8/20/2018,12/7/2018,BB2103,1:30 PM,2:20 PM,Y,N,Y,N,Y,N,N,3,3,LEC
CIS,690,Implementation Projects,A,"Amtoft,Torben",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,3,3,IND
CIS,690,Implementation Projects,B,"Andresen,Daniel A",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,3,3,IND
CIS,690,Implementation Projects,C,"Caragea,Doina",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,3,3,IND
CIS,690,Implementation Projects,D,"Caragea,Cornelia Alexandra",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,,,N,N,N,N,N,N,N,3,3,IND
CIS,690,Implementation Projects,E,"DeLoach,Scott A",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,3,3,IND
CIS,690,Implementation Projects,F,"Amariucai,George",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,,,N,N,N,N,N,N,N,3,3,IND
CIS,690,Implementation Projects,G,"Bean,Nathan H",No Special Consent Required,10,Top/Multiplatform Project,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,3,3,IND
CIS,690,Implementation Projects,H,"Howell,Rodney R",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,3,3,IND
CIS,690,Implementation Projects,I,"Hsu,William Henry",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,3,3,IND
CIS,690,Implementation Projects,J,"Mizuno,Masaaki",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,3,3,IND
CIS,690,Implementation Projects,K,"Neilsen,Mitchell L",No Special Consent Required,10, ,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,3,3,IND
